url,city,price,price_per_sqm,description,district_name,street_address,area_m2,bedrooms,floor,upload_date,transaction_type,source
https://www.myhome.ge/pr/21886087/iyideba-3-otaxiani-bina-did-dighomshi/,თბილისი,101999.0,1397.0,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,დიდი დიღომი,ასმათის ქ. 23,73.0,2.0,9.0,2025-07-24 13:18:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21603398/iyideba-2-otaxiani-bina-did-dighomshi/,თბილისი,67499.0,1468.0,იყიდება 2 ოთახიანი ბინა დიდ დიღომში,დიდი დიღომი,ასმათის ქ. 23,46.0,1.0,10.0,2025-07-24 13:17:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21886083/iyideba-3-otaxiani-bina-did-dighomshi/,თბილისი,90999.0,1282.0,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,დიდი დიღომი,ასმათის ქ. 23,71.0,2.0,8.0,2025-07-24 13:16:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21595333/iyideba-2-otaxiani-bina-did-dighomshi/,თბილისი,71499.0,1254.0,იყიდება 2 ოთახიანი ბინა დიდ დიღომში,დიდი დიღომი,ასმათის ქ. 23,57.0,2.0,5.0,2025-07-24 13:14:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21752379/iyideba-3-otaxiani-bina-didubeshi/,თბილისი,139999.0,1707.0,იყიდება 3 ოთახიანი ბინა დიდუბეში,დიდუბე,თორნიკე ერისთავის ქუჩა,82.0,2.0,15.0,2025-07-24 13:11:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21802265/iyideba-3-otaxiani-bina-did-dighomshi/,თბილისი,107999.0,1401.0,იყიდება 3 ოთახიანი ბინა დიდ დიღომში,დიდი დიღომი,გიორგი ბრწყინვალეს ქ. 54,77.1,2.0,15.0,2025-07-24 13:03:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21526958/iyideba-2-otaxiani-bina-saburtaloze/,თბილისი,78499.0,1825.0,იყიდება 2 ოთახიანი ბინა საბურთალოზე,საბურთალო,პოლიტკოვსკაია ა. ქ. (ჯიქია) 55,43.0,1.0,11.0,2025-07-24 13:02:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21860076/iyideba-2-otaxiani-bina-lisze/,თბილისი,66940.0,1310.0,იყიდება 2 ოთახიანი ბინა ლისზე,ლისი,ლისის ტბა,51.1,2.0,4.0,2025-07-24 12:57:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21877038/iyideba-5-otaxiani-bina-qutaisshi/,ქუთაისი,82399.0,800.0,იყიდება 5 ოთახიანი ბინა ქუთაისში,ჭავჭავაძე,ჭავჭავაძის გამზ. 54,103.0,3.0,2.0,2025-07-24 11:27:00,იყიდება,myhome.ge
https://www.myhome.ge/pr/21651763/iyideba-3-otaxiani-bina-qutaisshi/,ქუთაისი,79999.0,976.0,იყიდება 3 ოთახიანი ბინა ქუთაისში,აღმაშენებელი,აღმაშენებელი დ. გამზირი 112,82.0,2.0,1.0,2025-07-16 17:52:00,იყიდება,myhome.ge
